Metall,Abk.,Dichte kg/m³,Schmelzp. °C,Bemerkung/Verwendung
Kupfer,Cu,8900,1083,"Weiches, rötliches, sehr dehnbares Schwermetall, zweitbester elektrischer Leiter, wird deshalb z. B. in Kabeln verwendet."
Magnesium,Mg,1700,649,"Unedles Leichtmetall, Verwendung in Legierungen für den Flugzeug- und Motorenbau."
Messing,-,8400,905,"Mit Messing werden Kupfer-Zink-Legierungen bezeichnet, die mindestens 50 % Cu enthalten. Neben Kupfer und Zink können Messinge noch bis zu 3 % Blei enthalten. Werden noch andere Elemente außer Blei zulegiert, spricht man von Sondermessingen.Standardlegierungen für Bleche und Rohre sind CuZn37 und für Stangen CuZn39Pb3.Steigt der Kupfergehalt über 70 %, so wird diese Messing-Legierung auch als Tombak bezeichnet. Tombak zeigt nach der Politur eine goldähnliche Farbe und dient meist als Unterlage für Double."
Neusilber,-,8400,960,"Neusilber ist eine Legierung aus 50-67 % Kupfer, 10-25 % Nickel und 12-26 % Zink. Das Nickel verleiht der Legierung ein silberweißes Aussehen. Die Legierung ist hart, aber elastisch und wird z. B. für Elektronikfedern in Relais eingesetzt, aber auch in Reißverschlüssen oder für Bestecke. Handelsnamen sind Argentan, Alfenide, Alpaka, Christofle, Chinasilber, Pakfong, Hotelsilber, Platinin."
Nickel,Ni,8900,1453,"Nickel ist sehr dehnbar und zäh, und es lässt sich gut polieren. Es wird eingesetzt in Legierungen (z. B. Edelstahl, Neusilber, Nickelweißgold, aber auch für galvanische Oberflächen). Nickel kann Allergien auslösen. Der Staub gilt als krebserregend."
Osmium,Os,22500,3050,"Osmium ist das schwerste aller Metalle. Es wird als Legierungszusatz verwendet, um Legierungen besonders hart werden zu lassen. Es kommt in Industriekatalysatoren und als Kontrastmittel für die Arbeit mit Elektronenmikroskopen zum Einsatz."
Quecksilber,Hg,13500,-39,"Silberglänzendes, halbedles Schwermetall, bei Zimmertemperatur flüssig. Verwendung in Thermometern oder Dental- und Schmuck-Amalgam. Die Dämpfe sind giftig."
Palladium,Pd,12000,1552,"Silberweißes Edelmetall. Verwendung in Katalysatoren, als Palladiumbarren, in der Elektronik oder für Legierungen (z. B. Weißgold). Palladiumkurs"
Platin,Pt,21400,1772,"Silbergrau glänzendes Edelmetall. Es wird verwendet für Schmuck, Platinbarren, medizinische und elektrische Geräte sowie Katalysatoren. Platinkurs Platinankauf"
Rhodium,Rh,12400,1963,Einsatz in Katalysatoren und als Legierungsbeimischung (z. B. für Thermoelemente).
Ruthenium,Ru,12400,2250,"Einsatz in Katalysatoren, für galvanische Oberflächen und in Sonderlegierungen."
Silber,Ag,10500,962,"Weiches Edelmetall, bester elektrischer Leiter. Verwendung als Schmuck und Münzmetall, für Silberbarren, sowie für elektrische bzw. medizinische Geräte und in der Photochemie. Silberkurs / Silberankauf"
Titan,Ti,4500,1668,Wird in der Medizin sowie im Fahrzeugbau und in der Raumfahrt eingesetzt.
Tantal,Ta,16600,2996,"Wird in Kondensatoren, für Ofenauskleidungen und für Laborartikel der chemischen Industrie eingesetzt."
Wismut,Bi,9800,271,"Wismut ist ein rötlichweißes Metall von geringer Härte und hoher Sprödigkeit. Es wird in Legierungen eingesetzt, um den Schmelzpunkt zu senken (z. B. für Weichlote) oder auch für Modellgüsse."
Wolfram,W,19200,3410,Element mit der höchsten Schmelz- und Siedetemperatur aller Metalle. Einsatz z. B. als Glühdraht in Lampen.
Zink,Zn,7100,420,"Hellgraues Schwermetall. Gegen Witterungseinflüsse gut beständig. Wird zum Verzinken von Stahlblechen verwendet und auch als Legiermetall (für Messing, Tombak, Neusilber)."
Zinn,Sn,7300,232,"Silberglänzendes Schwermetall, weich, dehnbar. Verwendung in Mischung mit Blei (früher), Kupfer und Silber als Lötzinn. Früher auch beliebtes leicht gießbares Metall zur Herstellung von Zinntellern und Zinnkrügen für Sammler."
